ID,NOMBRE,DESCRIPCION,PRECIO,STOCK
1,summer,Rock throw explain always huge.,75.29,12
2,involve,Story senior support mission support.,42.57,20
3,environment,Staff above understand knowledge involve goal.,38.94,56
4,responsibility,Trial claim keep let save black.,84.94,49
5,artist,Think old will like already involve white.,35.97,76
6,alone,Those remain leg perhaps push.,93.48,4
7,save,These still future research.,85.86,86
8,on,Rich offer hotel father.,16.88,48
9,compare,Throw religious successful right.,42.62,7
10,bad,Shake find cause class.,68.66,11
11,law,Goal floor organization mention dark.,87.5,92
12,particularly,Against spend group over.,68.82,84
13,note,The serious Democrat gas total practice another.,14.21,92
14,under,Follow important cover building agency produce.,11.41,66
15,do,Physical develop nearly thus reach small.,71.27,24
16,about,Pick work suggest run majority.,76.96,39
17,player,Audience sea carry painting expect field do.,32.79,31
18,alone,Indicate Democrat under scene method eat.,49.8,36
19,TV,Subject friend lawyer including tree.,82.75,41
20,science,Keep rest situation energy.,22.9,91
21,attorney,Direction leave stuff.,90.24,48
22,meeting,Note show military buy show lay small.,49.0,4
23,green,Recognize interest herself rule.,69.37,80
24,real,Little explain level central across.,43.87,77
25,one,Such lead name military news student.,48.4,42
26,skill,Business sometimes class radio news end.,14.97,91
27,action,Least someone eat long generation law miss.,53.4,91
28,member,Learn country fund group decade doctor.,35.32,99
29,main,Energy draw rate ready herself.,69.7,18
30,cultural,Bar garden protect.,78.66,14
31,range,Team leg when smile.,26.73,79
32,each,Trade old hundred drug.,39.53,28
33,beyond,Possible past human.,73.42,85
34,quickly,Wife project police method area.,94.5,92
35,give,Now tough candidate church above name break.,10.84,93
36,probably,Newspaper need service between sing win.,52.59,76
37,star,Policy particular political person.,16.19,84
38,some,Color under anyone number when.,78.71,23
39,show,Work enjoy sing. Color full above summer man.,46.52,79
40,strong,Detail line attention time again may.,53.02,22
41,part,Stand state window election left.,50.4,38
42,article,Tell lose some car day true.,74.16,91
43,structure,Dog able health minute might plant.,97.31,5
44,campaign,Watch actually early beat door degree staff.,66.74,0
45,record,Skin in many seven meet set pick.,76.23,6
46,difficult,Edge nearly likely now player.,80.61,3
47,finally,Their away perhaps.,66.98,53
48,simple,Ready opportunity see across fall dog.,48.39,86
49,wish,Professional physical create democratic improve.,58.88,54
50,which,Build cover cell thus physical.,47.41,30
51,single,News clearly conference when.,19.62,21
52,answer,Fast Mrs strategy.,22.72,85
53,small,Political keep price behind.,22.56,77
54,size,Help fill manage line democratic against.,45.22,69
55,each,Teach current describe radio book.,50.27,58
56,long,Central game view police.,35.23,63
57,candidate,Soon practice idea computer see nice.,47.31,95
58,news,Question ok tough go.,35.05,16
59,alone,Difficult practice dream style food.,65.1,80
60,far,Them measure hold mention admit enter.,32.0,37
61,together,Above under hold newspaper with.,96.75,81
62,protect,Than three matter budget computer type.,60.43,30
63,defense,Ball figure listen maintain window establish.,97.81,84
64,above,Whose support mouth common.,82.63,91
65,father,Challenge common already trial.,19.01,26
66,second,Easy less body they evidence.,32.85,60
67,foreign,Special outside man manage record.,62.34,41
68,price,Far practice point build.,26.16,100
69,success,Other first nation.,93.88,11
70,model,Officer grow work child sort scientist.,86.22,84
71,story,Career democratic like most want.,97.85,27
72,but,More by adult back environment.,85.24,52
73,protect,Anyone college officer.,33.55,89
74,whom,Fall mouth civil detail gas election.,96.97,7
75,tend,Real body experience TV fire table drive.,34.15,3
76,history,No street enjoy argue manager whether single.,97.79,18
77,stand,Government past dog or road garden.,20.76,91
78,information,Serious name represent.,99.14,32
79,scientist,Just truth trade stop artist foot night.,55.01,40
80,on,Head also later culture game appear cover.,13.11,70
81,college,Yes herself major on capital performance sister.,57.85,14
82,production,Put particular edge standard tend.,17.1,35
83,per,Television same practice region child.,47.88,76
84,floor,Scientist just dream chance second property able.,59.25,36
85,toward,Along couple so similar.,83.63,20
86,business,Week poor Congress thousand.,52.52,69
87,near,Reveal almost us. Plan support community accept.,72.19,42
88,job,Fact represent live suddenly.,17.87,49
89,whether,Should building really above today cost mouth.,73.66,82
90,on,Woman collection who sometimes seek sister wrong.,96.91,34
91,capital,Economy employee strong very you reason.,99.75,4
92,throughout,Economic short them close.,17.73,18
93,civil,West power customer public himself.,66.19,26
94,college,If American success.,52.02,26
95,film,Officer loss could look.,13.09,48
96,believe,Turn must school theory.,99.24,38
97,politics,Learn upon pull seek newspaper brother.,90.89,76
98,little,Hold the assume young study base.,59.19,46
99,about,Claim page government team stage.,54.05,16
100,free,Tv throughout born sport.,73.35,56
